destino,distancia,ida,numpassagens,qtdiarias,requisicao,solicitante,valor,volta
Madrid - ESPANHA,18474.853906480963,2016-12-11,8,4.0,93874,MIRIAM PAZ GARCEZ MARRONI,5938.240000000002,2016-12-17
Nova Délhi - INDIA.,30113.038672393268,2016-11-04,12,8.0,93141,PEDRO OZORIO PEREIRA,11589.12,2016-11-13
Barcelona - ESPANHA,19296.69577434922,2016-11-13,0,5.0,93713,REGINA MARIA BECKER,7108.4,2016-11-18
Punta del Este - URUGUAI,1298.8011558768574,2016-04-06,0,3.0,89673,SERGIO BERGONSI TURRA,3175.02,2016-04-09
MUNICH - ALEMANHA,21402.910685461127,2016-05-28,6,8.0,90288,SERGIO PERES ALÓS,12907.84,2016-06-05
Buenos Aires - ARGENTINA,3188.970110954403,2016-08-18,2,2.0,92552,SILVANA MARIA FRANCISCATTO COVATTI,1899.96,2016-08-20
"VARESE - ITALIA, Lisboa - PORTUGAL",19176.145864843944,2016-11-19,5,8.0,93642,SILVANA MARIA FRANCISCATTO COVATTI,11704.32,2016-11-27
NEW YORK - ESTADOS UNIDOS DA AMERICA,17033.985944223434,2016-03-13,1,6.0,88673,STELA BEATRIZ FARIAS LOPES,9522.72,2016-03-19
La Plata - ARGENTINA,1664.3805841375586,2016-04-06,2,2.0,89457,ZILA MARIA BREITENBACH,2134.98,2016-04-08
Amsterdam - HOLANDA.,21252.16525897109,2016-05-28,4,6.0,90944,ZILA MARIA BREITENBACH,9561.6,2016-06-03
Buenos Aires - ARGENTINA,1693.1524968020474,2016-08-18,1,2.0,92370,ZILA MARIA BREITENBACH,1911.18,2016-08-20
HANNOVER - ALEMANHA,10901.853576107067,2016-11-11,2,4.0,93483,ZILA MARIA BREITENBACH,5728.48,2016-11-15
HANNOVER - ALEMANHA,10901.853576107067,2016-11-16,2,4.0,93484*,ZILA MARIA BREITENBACH,2979.08,2016-11-20
BUENOS AIRES - ARGENTINA,846.5762484010237,2017-04-01,2,3.0,95844,ADAO ROBERTO RODRIGUES VILLAVERDE,2803.86,2017-04-04
MELO - URUGUAI,763.1524954538834,2017-07-20,0,3.0,98533,ADAO ROBERTO RODRIGUES VILLAVERDE,2803.86,2017-07-23
