"mes","solicitante","passagens","combustiveis","diarias","distancia","viagens","dias.fora","gastos.totais"
2015-10-01,"PEDRO LUIZ FAGUNDES RUAS",769.07,1137.65,0,0,0,0,1906.72
2015-11-01,"PEDRO LUIZ FAGUNDES RUAS",0,636.02,0,0,0,0,636.02
2015-12-01,"PEDRO LUIZ FAGUNDES RUAS",0,449.02,0,0,0,0,449.02
2016-01-01,"PEDRO LUIZ FAGUNDES RUAS",0,1319.95,0,0,0,0,1319.95
2016-02-01,"PEDRO LUIZ FAGUNDES RUAS",0,273.21,0,0,0,0,273.21
2016-03-01,"PEDRO LUIZ FAGUNDES RUAS",0,1001.36,0,0,0,0,1001.36
2016-04-01,"PEDRO LUIZ FAGUNDES RUAS",3163.1,828.93,372.39,3239.47329665878,1,0,3992.03
2016-05-01,"PEDRO LUIZ FAGUNDES RUAS",0,623.28,0,0,0,0,623.28
2016-06-01,"PEDRO LUIZ FAGUNDES RUAS",0,709.43,0,0,0,0,709.43
2016-07-01,"PEDRO LUIZ FAGUNDES RUAS",0,1357.57,0,0,0,0,1357.57
2016-08-01,"PEDRO LUIZ FAGUNDES RUAS",0,170,0,0,0,0,170
2016-09-01,"PEDRO LUIZ FAGUNDES RUAS",0,0,0,0,0,0,0
2016-10-01,"PEDRO LUIZ FAGUNDES RUAS",0,305.61,0,0,0,0,305.61
2016-11-01,"PEDRO LUIZ FAGUNDES RUAS",0,630,0,0,0,0,630
2016-12-01,"PEDRO LUIZ FAGUNDES RUAS",0,803.01,0,0,0,0,803.01
2017-01-01,"PEDRO LUIZ FAGUNDES RUAS",0,1122.57,0,0,0,0,1122.57
2017-02-01,"PEDRO LUIZ FAGUNDES RUAS",0,1138.07,0,0,0,0,1138.07
2017-03-01,"PEDRO LUIZ FAGUNDES RUAS",0,2074.83,0,0,0,0,2074.83
2017-04-01,"PEDRO LUIZ FAGUNDES RUAS",0,1705.25,0,0,0,0,1705.25
2017-05-01,"PEDRO LUIZ FAGUNDES RUAS",0,1408.86,0,0,0,0,1408.86
2017-06-01,"PEDRO LUIZ FAGUNDES RUAS",0,1138.74,0,0,0,0,1138.74
2017-07-01,"PEDRO LUIZ FAGUNDES RUAS",0,1228.38,0,0,0,0,1228.38
2017-08-01,"PEDRO LUIZ FAGUNDES RUAS",0,1800.01,0,0,0,0,1800.01
2017-09-01,"PEDRO LUIZ FAGUNDES RUAS",0,1743.54,0,0,0,0,1743.54
2017-10-01,"PEDRO LUIZ FAGUNDES RUAS",0,1762.19,0,0,0,0,1762.19
2017-11-01,"PEDRO LUIZ FAGUNDES RUAS",0,1439.7,0,0,0,0,1439.7
